Customer_ID,Registration_Date,Age,Gender,Province,Education_Level,Occupation,Annual_Income_USD,Spending_Score,Monthly_App_Sessions,Social_Media_Hours_Day,Monthly_Online_Purchases,Avg_Transaction_Value_USD,Payment_Method,Preferred_Platform,Days_Since_Last_Purchase,Number_of_Dependents,Has_Smartphone,Internet_Speed,Loyalty_Score,Returns_Per_Year,Country,Survey_Version,Customer_Notes
KH-001,2023-01-15,28,Male,Kampot,Secondary,Service Worker,4240,48,42,5.2,12,71.42,Cash,TikTok Shop,70,0,Yes,Fast,5.0,0,Cambodia,v1,"Note 0: new customer, visited 15 times, from Takeo"
KH-002,15/01/2023,36,Female,Phnom Penh,Master,Business Owner,10857,56,33,0.5,9,194.01,ACLEDA,Lazada,54,2,Yes,Slow,6.0,1,Cambodia,v1,"Note 1: loyal customer, visited 13 times, from Battambang"
KH-003,Jan 15 2023,25,Male,Phnom Penh,Secondary,Farmer,3212,53,28,4.3,9,57.0,ACLEDA,Facebook Marketplace,3,4,Yes,Medium,5.0,1,Cambodia,v1,"Note 2: loyal customer, visited 1 times, from Siem Reap"
KH-004,2023.01.15,22,Male,Phnom Penh,Primary,Student,"$1,715",36,41,3.3,10,32.65,,Local Market,4,4,Yes,Slow,4.0,0,Cambodia,v1,"Note 3: loyal customer, visited 19 times, from Pursat"
KH-005,15-Jan-23,31,Male,Phnom Penh,Primary,Service Worker,786,33,33,3.5,14,37.33,ACLEDA,Local Market,24,4,Yes,Slow,3.0,1,Cambodia,v1,"Note 4: new customer, visited 11 times, from Pursat"
KH-006,2023-01-15,29,FEMALE,Phnom Penh,Secondary,Farmer,3150,27,42,1.5,10,48.08,ABA Mobile,TikTok Shop,37,2,Yes,Fast,3.0,-3,Cambodia,v2,"Note 5: loyal customer, visited 15 times, from Phnom Penh"
KH-007,15/01/2023,45,Female,Siem Reap,Bachelor,Government Employee,3957,43,18,3.4,3,70.48,Wing,Shopee,5,0,Yes,Fast,4.0,2,Cambodia,v2,"Note 6: loyal customer, visited 2 times, from Kandal"
KH-008,Jan 15 2023,27,Female,Phnom Penh,Bachelor,Service Worker,5338,51,44,4.5,12,104.6,ABA Mobile,Lazada,11,0,1,Fast,5.0,3,Cambodia,v2,"Note 7: new customer, visited 10 times, from Kampot"
KH-009,2023.01.15,32,Male,Phnom Penh,Secondary,Freelancer,761,40,43,2.8,16,41.91,Cash,Lazada,6,0,Yes,Slow,4.0,0,Cambodia,v2,"Note 8: new customer, visited 7 times, from Sihanoukville"
KH-010,15-Jan-23,22,Male,Phnom Penh,Secondary,Government Employee,2446,52,46,2.0,16,43.74,Cash,Shopee,15,2,Yes,Medium,5.0,3,Cambodia,v2,"Note 9: loyal customer, visited 19 times, from Kratie"
KH-011,2023-01-15,19,Female,Siemreap,Primary,Farmer,1674,39,57,4.1,11,23.18,Wing,TikTok Shop,6,3,Yes,Medium,4.0,0,Cambodia,v2,"Note 10: loyal customer, visited 13 times, from Phnom Penh"
KH-012,15/01/2023,38,Male,BATTAMBANG,Master,Freelancer,10882,61,39,3.4,11,196.71,ABA Mobile,Facebook Marketplace,28,2,Yes,Fast,6.0,2,Cambodia,v2,"Note 11: new customer, visited 3 times, from Kandal"
KH-013,Jan 15 2023,32,Female,Phnom Penh,Master,Freelancer,12342,63,28,4.4,6,222.04,ABA Mobile,Facebook Marketplace,14,1,Yes,Slow,6.0,2,Cambodia,v2,"Note 12: loyal customer, visited 7 times, from Battambang"
KH-014,2023.01.15,20 yrs,Female,Phnom Penh,Bachelor,Service Worker,6180,52,53,4.6,15,121.98,,Shopee,44,3,Yes,Fast,5.0,0,Cambodia,v2,"Note 13: loyal customer, visited 16 times, from Takeo"
KH-015,15-Jan-23,33,Female,Phnom Penh,Bachelor,Farmer,120000,52,42,4.0,12,76.46,ACLEDA,Facebook Marketplace,5,4,Yes,Medium,5.0,3,Cambodia,v2,"Note 14: new customer, visited 17 times, from Siem Reap"
